res_id,age,marital_status,child_num,has_motorcycle,has_car,use_internet,expense
2024000000335390,29,kawin,1,yes,no,yes,5704923
2024000000772349,42,cerai hidup,1,no,no,yes,28564371
2024000000104763,23,belum kawin,0,yes,yes,yes,8794544
2024000000277479,34,cerai hidup,1,no,no,yes,8439535
2024000000231713,29,kawin,1,yes,no,yes,10730748
2024000000186891,47,belum kawin,0,no,no,no,6561616
2024000000279430,51,cerai hidup,1,yes,no,yes,22758034
2024000000128683,28,belum kawin,0,no,yes,yes,5027846
2024000000879619,42,kawin,1,yes,yes,no,7732915
2024000000109060,45,belum kawin,0,no,yes,yes,12395741
2024000000614085,50,cerai hidup,1,yes,yes,yes,17882180
2024000000141942,50,cerai hidup,1,no,no,yes,9478797
2024000000167763,27,belum kawin,0,no,no,yes,6013522
2024000000226614,36,kawin,1,yes,yes,yes,4600884
2024000000294414,34,kawin,1,no,yes,yes,3332468
2024000000325947,34,kawin,1,yes,yes,yes,2909233
2024000000173592,23,kawin,1,yes,yes,yes,5039108
2024000000812538,44,belum kawin,0,yes,yes,yes,6711834
2024000000770918,45,belum kawin,0,yes,no,yes,22265528
2024000000209278,49,cerai hidup,1,no,no,yes,19705092
2024000000884925,37,kawin,1,yes,no,yes,9865911
2024000000220545,37,belum kawin,0,yes,no,yes,10325383
2024000000241742,33,kawin,1,yes,yes,yes,4727510
2024000000160785,42,cerai hidup,1,no,no,yes,23300929
2024000000107685,37,cerai hidup,1,yes,no,yes,3783476
2024000000378938,36,cerai hidup,1,no,no,yes,5515263
2024000000293939,50,kawin,1,no,no,yes,10598234
2024000000147805,48,cerai mati,1,no,no,yes,9877913
2024000000201678,32,kawin,1,yes,no,yes,5685514
2024000000280518,38,cerai hidup,1,no,no,yes,12699251
2024000000194674,41,kawin,1,yes,yes,yes,9693732
2024000000621367,48,cerai hidup,1,no,no,yes,9065178
2024000000293900,27,belum kawin,0,no,yes,no,4895238
2024000000259789,46,belum kawin,0,yes,yes,yes,16234764
2024000000128207,40,belum kawin,0,yes,no,yes,5168185
2024000000322434,46,belum kawin,0,no,yes,yes,8575568
2024000000786666,27,belum kawin,0,no,yes,yes,10656312
2024000000293010,24,belum kawin,0,yes,yes,yes,11451813
2024000000223348,51,kawin,1,yes,yes,yes,7889924
2024000000286334,44,kawin,1,yes,yes,yes,15190423
2024000000246800,39,kawin,1,yes,yes,no,5983221
2024000000191286,32,belum kawin,0,yes,yes,yes,2856400
2024000000109752,45,cerai hidup,1,no,yes,yes,15597249
2024000000275525,51,belum kawin,0,no,no,yes,8926991
2024000000313688,47,kawin,1,yes,no,yes,16231917
2024000000248839,51,belum kawin,0,yes,yes,yes,21418022
2024000000325500,26,kawin,1,no,no,yes,3193541
2024000000289560,42,belum kawin,0,yes,yes,yes,10273913
2024000000222844,28,kawin,1,no,no,yes,3317632
2024000000140086,23,belum kawin,0,yes,no,yes,4190057
2024000000261499,43,cerai hidup,1,yes,yes,yes,18234599
2024000000307737,36,belum kawin,0,no,yes,yes,4238598
2024000000334906,34,cerai hidup,1,no,yes,yes,4927224
2024000000146928,32,kawin,1,no,yes,yes,2965408
2024000000824614,35,belum kawin,0,no,no,no,5794414
2024000000281053,29,kawin,1,no,yes,yes,10736054
2024000000222628,47,kawin,1,yes,yes,yes,17275706
2024000000298593,36,belum kawin,0,no,no,yes,6284410
2024000000848190,28,belum kawin,0,yes,no,yes,2592325
2024000000719752,33,cerai hidup,1,no,no,yes,5205656
2024000000457765,36,cerai hidup,1,no,yes,yes,6442965
2024000000936163,33,kawin,1,yes,yes,yes,4233039
2024000000641330,23,kawin,1,yes,no,yes,5984394
2024000000266776,35,belum kawin,0,no,yes,yes,7453379
2024000000101919,48,cerai mati,1,no,no,yes,27725960
2024000000114037,32,kawin,1,yes,no,yes,8402825
2024000000149750,43,cerai hidup,1,no,yes,yes,10188856
2024000000293409,37,kawin,1,yes,no,yes,7177677
2024000000372269,28,kawin,1,yes,yes,yes,5434832
2024000000280462,25,kawin,1,yes,no,yes,3850834
2024000000316955,34,belum kawin,0,yes,no,yes,5813903
2024000000164714,45,cerai hidup,1,no,yes,yes,32167635
2024000000576220,34,cerai hidup,1,yes,yes,yes,6349332
2024000000187195,35,cerai hidup,1,no,no,yes,10061459
2024000000320786,38,belum kawin,0,no,yes,yes,8927288
2024000000147618,43,belum kawin,0,no,no,yes,8221750
2024000000708196,27,kawin,1,yes,yes,yes,11235536
2024000000222818,41,cerai hidup,1,yes,yes,yes,27362716
2024000000137874,42,kawin,1,yes,yes,yes,11620581
2024000000129718,33,belum kawin,0,no,no,yes,4622621
2024000000382639,33,cerai hidup,1,yes,yes,yes,4685977
2024000000327905,33,belum kawin,0,no,yes,yes,8920578
2024000000113381,36,kawin,1,no,no,yes,9690158
2024000000243696,38,belum kawin,0,yes,no,yes,5669440
2024000000650052,24,belum kawin,0,no,yes,yes,11487471
2024000000174589,46,cerai hidup,1,no,yes,yes,11726561
2024000000950185,49,kawin,1,no,yes,yes,35560340
2024000000175127,49,cerai mati,1,yes,no,yes,8773087
2024000000287696,37,cerai hidup,1,yes,yes,yes,8188501
2024000000955122,41,kawin,1,no,no,yes,8619624
2024000000371526,38,kawin,1,yes,yes,yes,7630736
2024000000157919,32,belum kawin,0,no,yes,yes,2264376
2024000000414542,47,cerai hidup,1,yes,no,yes,7393763
2024000000209075,26,kawin,1,yes,yes,yes,11821102
2024000000861643,50,kawin,1,yes,yes,yes,19217695
2024000000331699,28,belum kawin,0,yes,yes,no,10639943
2024000000221530,27,kawin,1,yes,yes,yes,6264233
2024000000908632,33,cerai hidup,1,no,no,yes,2823984
2024000000333396,30,belum kawin,0,yes,no,yes,4607269
2024000000648305,33,belum kawin,0,no,yes,yes,4575627
2024000000388328,24,kawin,1,yes,no,yes,3539258
2024000000148776,31,cerai hidup,1,no,no,yes,2995958
2024000000216255,44,belum kawin,0,no,no,yes,6828137
2024000000431063,37,belum kawin,0,yes,no,yes,7486496
2024000000285662,23,kawin,1,yes,yes,yes,5320013
2024000000284053,33,kawin,1,yes,no,no,9875230
2024000000211180,31,cerai hidup,1,yes,yes,yes,3738648
2024000000318461,48,cerai mati,1,yes,yes,yes,31513119
2024000000332297,45,kawin,1,yes,no,yes,27919657
2024000000177173,39,belum kawin,0,yes,yes,yes,7506259
2024000000253036,35,belum kawin,0,no,no,yes,6888434
2024000000317411,31,cerai hidup,1,yes,no,yes,2133470
2024000000101494,34,belum kawin,0,yes,yes,yes,3505346
2024000000321681,47,kawin,1,no,yes,yes,20638577
2024000000105012,48,kawin,1,yes,yes,yes,11629629
2024000000128047,35,cerai hidup,1,no,no,no,7800748
2024000000107433,35,belum kawin,0,yes,no,no,11498499
2024000000133081,36,belum kawin,0,no,yes,yes,5384019
2024000000787095,22,kawin,1,no,no,yes,4531004
2024000000280205,24,belum kawin,0,no,no,yes,3651395
2024000000639736,25,belum kawin,0,no,yes,yes,3268364
2024000000113243,43,cerai hidup,1,no,yes,yes,23897404
2024000000175552,24,belum kawin,0,yes,yes,yes,4347162
2024000000318818,27,belum kawin,0,no,yes,yes,3192098
2024000000786982,26,kawin,1,no,no,yes,2381262
2024000000155174,25,belum kawin,0,yes,yes,yes,3159619
2024000000249154,31,belum kawin,0,no,yes,yes,3789989
2024000000152844,38,kawin,1,no,no,yes,5732962
2024000000277813,51,kawin,1,no,no,yes,27508548
2024000000281225,49,belum kawin,0,no,no,yes,9743345
2024000000240110,34,cerai hidup,1,yes,no,yes,9173114
2024000000199140,46,belum kawin,0,yes,no,yes,10321934
2024000000318868,43,belum kawin,0,no,no,yes,12290597
2024000000245292,48,cerai mati,1,no,yes,yes,8474913
2024000000273656,32,kawin,1,yes,yes,yes,3110064
2024000000290291,48,cerai hidup,1,yes,no,yes,20194157
2024000000331865,46,cerai mati,1,yes,no,yes,29370588
2024000000278043,50,cerai hidup,1,no,no,yes,19669985
2024000000188126,29,belum kawin,0,no,no,yes,5987020
2024000000172101,32,belum kawin,0,yes,no,yes,3624643
2024000000152531,48,kawin,1,no,no,yes,32174930
